Name of Document/Website,Name of guidelines/principles,Issuer,Country of issuer,Type of issuer,Date of publishing,Target audience,Retrieval
"Work in the age of artificial intelligence. Four perspectives on the economy, employment, skills and ethics (only section ""Good application of artificial intelligence technology and ethics"")",Values of a good artificial intelligence society,Ministry of Economic Affairs and Employment,Finland,Governmental agencies/organizations,10-Sep-2018,multiple (Finnish world of work),Linkhubs
SAP’s guiding principles for artificial intelligence,SAP’s guiding principles for artificial intelligence,SAP,Germany,Company,18-Sep-2018,self,Web search results 1-30
Sony Group AI Ethics Guidelines,Sony Group AI Ethics Guidelines,SONY,Japan,Company,25-Sep-2018,self (group),Web search results 1-30
Ethics Framework - Responsible AI,Framework,Machine Intelligence Garage Ethics Committee,UK,n.a.,28-Sep-2018,private sector (start-ups),Web search results 31-200
Dutch Artificial Intelligence Manifesto,Multidisciplinary challenges,"Special Interest Group on Artificial Intelligence (SIGAI), ICT Platform Netherlands (IPN)",Netherlands,Academic and research institution,xx-Sep-2018,"multiple (Dutch government, researchers)",Web search results 31-200
Governing Artificial Intelligence. Upholding Human Rights & Dignity,Recommendations,Data & Society,USA,Research (NPO),10-Oct-2018,"multiple (companies, researchers, governments, policy makers, UN)",Citation chaining
Tieto’s AI ethics guidelines,Tieto’s AI ethics guidelines,Tieto,Finland,Company,17-Oct-2018,self,Web search results 31-200
Intel’s AI Privacy Policy White Paper. Protecting individuals’ privacy and data in the artificial intelligence world,Six Policy Recommendations,Intel Corporation,USA,Company,22-Oct-2018,public sector (policy makers),Web search results 31-200
Universal Guidelines for Artificial Intelligence,Universal Guidelines for Artificial Intelligence,The Public Voice,international,"Mixed (coalition of NGOs, ICOs etc.)",23-Oct-2018,"multiple (institutions, governments)",Web search results 1-30
Declaration on ethics and data protection in Artificial Intelligence,"""… guiding principles …""",ICDPPC,international,IGO/supra-national,23-Oct-2018,unspecified,Web search results 1-30
AI Principles of Telefónica,AI Principles of Telefónica,Telefónica,Spain,Company,30-Oct-2018,self,Web search results 1-30
Introducing Unity’s Guiding Principles for Ethical AI – Unity Blog,Unity’s six guiding AI principles are as follows,Unity Technologies,USA,Company,28-Nov-2018,self,Manual inclusion
Responsible bots: 10 guidelines for developers of conversational AI,Guideline,Microsoft,USA,Company,xx-Nov-2018,developers,Manual inclusion
AI Now 2018 Report,Recommendations,AI Now Institute,USA,Academic and research institution,xx-Dec-2018,multiple,Manual inclusion
Ethics of AI in Radiology: European and North American Multisociety Statement,Conclusion,American College of Radiology; European Society of Radiology; Radiology Society of North America; Society for Imaging Informatics inMedicine; European Society of Medical Imaging Informatics; Canadian Association of Radiologists; American Association of Physicists in Medicine,international,Prof. Association/Society,26-Feb-2019,self,Manual inclusion
European ethical Charter on the use of Artificial Intelligence in judicial systems and their environment,"""The five principles of the Ethical Charter on the Use of Artificial Intelligence in Judicial Systems and their environment""",Concil of Europe: European Commission for the efficiency of Justice (CEPEJ),EU,IGO/supra-national,xx-Feb-2019,multiple (public and private stakeholders),Manual inclusion
"Ethically Aligned Design: A Vision for Prioritizing Human Well-being with Autonomous and Intelligent Systems, First Edition (EAD1e)",General Principles,"Institute of Electrical and Electronics Engineers (IEEE), The IEEE Global Initiative on Ethics of Autonomous and Intelligent Systems",international,Prof. Association/Society,25-Mar-2019,"multiple (technologists, educators, and policy maker)",Manual inclusion
Artificial Intelligence. Australia's Ethics Framework. A discussion Paper,Core principles for AI; A toolkit for ethical AI,Department of Industry Innovation and Science,Australia,Governmental agencies/organizations,5-Apr-2019,unspecified,Manual inclusion
Ethics Guidelines for Trustworthy AI,Ethical Principles in the Context of AI Systems,High-Level Expert Group on Artificial Intelligence,EU,IGO/supra-national,8-Apr-2019,multiple (all stakeholders),Manual inclusion
"Ethical, social, and political challenges of Artificial Intelligence in Health",Conclusion,Future Advocacy,UK,Company,xx-Apr-2019,unspecified,Manual inclusion
The responsible AI framework,Operating AI,PriceWaterhouseCoopers UK,UK,Company,n.a.,multiple (clients),Web search results 31-200
Digital Decisions,VI. Solutions Part 1: Principles,Center for Democracy & Technology,USA,NPO/charity,n.a.,unspecified,Citation chaining
Responsible AI and robotics. An ethical framework.,Our view,Accenture UK,UK,Company,n.a.,private sector,Web search results 1-30
Commitments and principles,OP Financial Group’s ethical guidelines for artificial intelligence,OP Group,Finland,Company,n.a.,self,Web search results 31-200
"Science, Law and Society (SLS) Initiative",Principles for the Governance of AI,The Future Society,USA,NPO/charity,n.a.,public sector (policy makers),Linkhubs
10 Principles of responsible AI,Summary of our proposed Recommendations,Women leading in AI,n.a.,n.a.,n.a.,public sector (national and international policy makers),Manual inclusion
"AI4People—An Ethical Framework for a Good AI Society: Opportunities, Risks, Principles, and Recommendations",Action Points,AI4People,EU,n.a.,n.a.,unspecified,Manual inclusion
AI Principles & Ethics,AI Principles; AI guidelines,Smart Dubai,UAE,Governmental agencies/organizations,n.a. 2018?,self,Manual inclusion
